timestamp,T_Ambient_Actual,T_Pinda_Actual,T_Bed_Setpoint,Power_Bed,T_Bed_Actual,Speed_Fan_Hotend,Speed_Fan_Part,PWM_Fan_Hotend,PWM_Fan_Part,T_Hotend_Setpoint,Power_Hotend,T_Hotend_Actual,T_Tool_Actual,T_Tool_Setpoint,StepperOnOff,X_Setpoint,Y_Setpoint,Z_Setpoint,E_Setpoint,F_Setpoint
2023-11-27 11:05:34.874000+00:00,42.5,41.4,90.0,59.0,90.0,4320.0,2940.0,255.0,76.0,243.0,86.0,243.0,243.0,243.0,1.0,158.778,104.083,2.2,243480.62659974344,2100.0
2023-11-29 11:34:09.805000+00:00,42.9,46.8,90.0,75.0,89.9,4380.0,2880.0,255.0,76.0,243.0,89.0,243.0,243.0,243.0,1.0,92.322,136.771,10.0,273347.4821601695,2400.0
2023-11-28 08:36:00.589000+00:00,42.5,43.5,90.0,91.0,89.8,4380.0,2880.0,255.0,76.0,243.0,96.0,242.6,242.6,243.0,1.0,120.674,72.149,1.6,257463.09990960205,10800.0
2023-11-27 10:32:09.351000+00:00,42.2,39.7,90.0,74.0,90.0,4320.0,2940.0,255.0,76.0,243.0,91.0,243.0,243.0,243.0,1.0,209.437,161.052,1.4,241882.6767797594,2400.0
2023-11-27 12:51:20.865000+00:00,42.5,42.5,90.0,55.0,90.0,4380.0,3000.0,255.0,76.0,243.0,78.0,243.6,243.6,243.0,1.0,187.654,72.921,4.8,248095.15964968925,10800.0
2023-11-27 11:05:45.429000+00:00,42.6,40.9,90.0,63.0,90.0,4380.0,2880.0,255.0,76.0,243.0,90.0,242.9,242.9,243.0,1.0,159.005,30.176,2.2,243488.34049974347,5873.816
2023-10-02 13:04:25.080000+00:00,44.9,35.7,60.0,6.0,60.2,4320.0,4200.0,255.0,255.0,210.0,97.0,211.0,211.0,210.0,1.0,85.821,149.137,26.3,75347.5785400379,2100.0
2023-12-07 10:13:21.030000+00:00,41.0,39.2,90.0,48.0,90.2,4260.0,2760.0,255.0,76.0,243.0,86.0,242.7,242.7,243.0,1.0,125.105,68.466,3.0,286798.97217085416,5895.652
2023-10-02 10:03:29.901000+00:00,44.7,36.3,60.0,16.0,60.0,4260.0,4380.0,255.0,255.0,210.0,109.0,210.9,210.9,210.0,1.0,169.493,84.916,5.15,66152.58771002955,8640.0
2023-11-29 10:29:57.258000+00:00,42.4,42.7,90.0,71.0,90.0,4380.0,2760.0,255.0,76.0,243.0,91.0,242.7,242.7,243.0,1.0,130.459,160.575,3.6,270745.7856697716,2400.0
2023-03-30 10:21:14.800000+00:00,39.4,33.1,60.0,33.0,60.0,4260.0,4560.0,255.0,255.0,225.0,111.0,225.6,225.6,225.0,1.0,152.793,111.749,6.4,4879.926700000306,10102.0
2023-12-07 11:56:07.710000+00:00,36.7,31.5,60.0,40.0,60.0,4260.0,4320.0,255.0,170.0,210.0,106.0,210.0,210.0,210.0,1.0,121.592,76.397,0.6,287922.22696088057,10569.955
2023-03-30 10:20:38.532000+00:00,39.6,33.2,60.0,48.0,59.9,4320.0,4320.0,255.0,255.0,225.0,127.0,224.3,224.3,225.0,1.0,143.784,87.826,6.2,4827.096230000304,2100.0
2023-11-28 11:03:07.504000+00:00,43.0,45.3,90.0,47.0,90.2,4380.0,2940.0,255.0,76.0,243.0,106.0,241.6,241.6,243.0,1.0,135.984,130.585,5.0,262170.7757595396,2100.0
2023-10-09 09:27:40.884000+00:00,33.2,36.9,60.0,35.0,59.9,4260.0,0.0,255.0,0.0,219.0,36.0,218.8,218.8,219.0,1.0,154.7,72.82,0.6,77190.68009003879,720.0
2023-10-12 09:14:18.523000+00:00,45.4,47.7,90.0,55.0,90.1,4440.0,2880.0,255.0,76.0,243.0,93.0,243.2,243.2,243.0,1.0,140.836,56.654,5.6,101204.39692988792,2100.0
2023-10-11 12:24:55.416000+00:00,45.4,34.9,60.0,35.0,60.0,4320.0,4680.0,255.0,255.0,210.0,96.0,211.0,211.0,210.0,1.0,118.112,112.918,44.15,95814.56052988383,8640.0
2023-03-28 09:29:07.130000+00:00,39.1,32.8,60.0,6.0,60.3,4260.0,4560.0,255.0,255.0,215.0,117.0,214.8,214.8,215.0,1.0,109.653,99.621,6.5,1226.8386299998836,4800.0
2023-03-28 09:46:32.800000+00:00,38.8,33.9,60.0,30.0,60.1,4260.0,4560.0,255.0,255.0,215.0,109.0,215.1,215.1,215.0,1.0,136.282,90.221,8.9,1573.2827599999569,2700.0
2023-03-28 08:47:48.462000+00:00,34.5,32.3,60.0,45.0,60.0,4260.0,4320.0,255.0,255.0,215.0,119.0,215.1,215.1,215.0,1.0,144.725,104.084,1.1,403.5292499999994,4800.0
2024-01-18 12:47:17.800000+00:00,33.8,28.6,0.0,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,29.2,29.2,0.0,0.0,0.0,200.0,131.4,42980.08864999995,3000.0
2023-03-28 09:23:26.606000+00:00,38.6,32.8,60.0,61.0,60.1,4260.0,4560.0,255.0,255.0,215.0,107.0,215.4,215.4,215.0,1.0,149.656,107.57,5.75,1106.0375399999778,4800.0
2023-11-27 10:30:39.691000+00:00,42.4,40.0,90.0,66.0,90.0,4380.0,2880.0,255.0,76.0,243.0,85.0,243.4,243.4,243.0,1.0,184.863,162.937,1.4,241809.97950976083,1500.0
2023-10-12 09:21:19.324000+00:00,45.4,47.8,90.0,91.0,89.9,4440.0,2760.0,255.0,76.0,243.0,82.0,243.5,243.5,243.0,1.0,148.734,128.132,6.5,101741.21251988836,7638.161
2023-11-27 08:50:51.746000+00:00,30.6,35.8,85.0,69.0,84.9,4320.0,0.0,255.0,0.0,250.0,35.0,250.1,250.1,250.0,1.0,191.178,89.232,0.2,234657.173079776,1200.0
2024-01-15 14:45:24.800000+00:00,36.2,29.2,60.0,37.0,60.6,4200.0,0.0,255.0,0.0,215.0,27.0,218.4,218.4,215.0,1.0,0.0,200.0,40.0,25304.66427999388,3000.0
2023-11-29 11:23:15.385000+00:00,43.0,46.4,90.0,62.0,90.0,4440.0,2940.0,255.0,76.0,243.0,88.0,242.8,242.8,243.0,1.0,136.67,43.281,9.0,272903.4712401132,2400.0
